81.82.10;["Riparazione di lussazione ricorrente della spalla, Rifissazione del labbro glenoideo, per via artroscopica"]
81.82.11;["Riparazione di lussazione ricorrente della spalla, Plicatura capsulare con fissazione alla glenoide, per via artroscopica"]
81.82.19;["Riparazione di lussazione ricorrente della spalla, altro, per via artroscopica"]
81.82.20;["Riparazione di lussazione ricorrente della spalla, Rifissazione del limbus, chirurgica a cielo aperto"]
81.82.21;["Riparazione di lussazione ricorrente della spalla, Plastica del margine glenoideo anteriore e posteriore"]
81.82.22;["Riparazione di lussazione ricorrente della spalla, Capsuloplastica anteriore e posteriore"]
81.82.29;["Riparazione di lussazione ricorrente della spalla, altro, chirurgica a cielo aperto"]
81.82.99;["Riparazione di lussazione ricorrente della spalla, altro"]
81.83.10;["Rifissazione di frammento osteocondrale, articolazione omero-glenoidea, per via artroscopica"]
81.83.11;["Rifissazione di frammento osteocondrale, articolazione omero-glenoidea, chirurgica a cielo aperto"]
81.83.12;["Rifissazione di frammento osteocondrale, articolazione acromio-clavicolare, per via artroscopica"]
81.83.13;["Rifissazione di frammento osteocondrale, articolazione acromio-clavicolare, chirurgica a cielo aperto"]
81.83.14;["Spongioplastica subcondrale, articolazione omero-glenoidea, per via artroscopica"]
81.83.15;["Spongioplastica subcondrale, articolazione omero-glenoidea, chirurgica a cielo aperto"]
81.83.16;["Spongioplastica subcondrale, articolazione acromio-clavicolare, per via artroscopica"]
81.83.17;["Spongioplastica subcondrale, articolazione acromio-clavicolare, chirurgica a cielo aperto"]
81.83.18;["Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, articolazione omero-glenoidea, per via artroscopica"]
81.83.19;["Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, articolazione omero-glenoidea, chirurgica a cielo aperto"]
81.83.20;["Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, articolazione acromio-clavicolare, per via artroscopica"]
81.83.21;["Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, articolazione acromio-clavicolare, chirurgica a cielo aperto"]
81.83.22;["Condroabrasione, articolazione omero-glenoidea, per via artroscopica"]
81.83.23;["Condroabrasione, articolazione omero-glenoidea, chirurgica a cielo aperto"]
81.83.24;["Condroabrasione, articolazione acromio-clavicolare, per via artroscopica"]
81.83.25;["Condroabrasione, articolazione acromio-clavicolare, chirurgica a cielo aperto"]
81.83.26;["Perforazione subcondrale, articolazione omero-glenoidea, per via artroscopica"]
81.83.27;["Perforazione subcondrale, articolazione omero-glenoidea, chirurgica a cielo aperto"]
81.83.28;["Perforazione subcondrale, articolazione acromio-clavicolare, per via artroscopica"]
81.83.29;["Perforazione subcondrale, articolazione acromio-clavicolare, chirurgica a cielo aperto"]
81.83.30;["Perforazione subcondrale con inserzione di impianto acellulare, articolazione omero-glenoidea, per via artroscopica"]
81.83.31;["Perforazione subcondrale con inserzione di impianto acellulare, articolazione acromio-clavicolare, per via artroscopica"]
81.83.32;["Rifissazione del labbro glenoideo, per via artroscopica"]
81.83.33;["Allargamento dello spazio subacromiale, per via artroscopica"]
81.83.34;["Plicatura capsulare con fissazione al glenoide, per via artroscopica"]
81.83.39;["Rifissazione e plastica artroscopica dell'apparato capsulo-legamentoso della spalla, altro, per via artroscopica"]
81.83.40;["Artroplastica di resezione della spalla"]
81.83.41;["Rifissazione del limbus, chirurgica a cielo aperto"]
81.83.42;["Plastica del margine glenoideo anteriore e posteriore"]
81.83.43;["Capsuloplastica anteriore e posteriore"]
81.83.44;["Acromioplastica con sezione del legamento coraco-acromiale, chirurgica a cielo aperto"]
81.83.49;["Rifissazione e plastica dell'apparato capsulo-legamentoso della spalla, altro, chirurgica a cielo aperto"]
81.83.99;["Altro intervento sulla spalla, altro"]
81.85.10;["Rifissazione di frammento osteocondrale del gomito, per via artroscopica"]
81.85.11;["Rifissazione di frammento osteocondrale del gomito, chirurgica a cielo aperto"]
81.85.12;["Spongioplastica subcondrale del gomito, per via artroscopica"]
81.85.13;["Spongioplastica subcondrale del gomito, chirurgica a cielo aperto"]
81.85.14;["Innesto di cartilagine e impianto del gomito di colture tissutali prodotte in vitro, per via artroscopica"]
81.85.15;["Innesto di cartilagine e impianto del gomito di colture tissutali prodotte in vitro, chirurgica a cielo aperto"]
81.85.16;["Condroabrasione del gomito, per via artroscopica"]
81.85.17;["Condroabrasione del gomito, chirurgica a cielo aperto"]
81.85.18;["Perforazione subcondrale del gomito, per via artroscopica"]
81.85.19;["Perforazione subcondrale del gomito, chirurgica a cielo aperto"]
81.85.20;["Perforazione subcondrale del gomito con inserzione di impianto acellulare, per via artroscopica"]
81.85.21;["Artroplastica di resezione del gomito"]
81.85.30;["Sostituzione con protesi della superficie articolare distale dell'omero"]
81.85.31;["Altra riparazione del gomito, Protesi del capitello radiale"]
81.85.32;["Altra riparazione del gomito, Protesi dell'estremità prossimale dell'ulna"]
81.85.99;["Altra riparazione del gomito, altro"]
81.90.10;["Trapianto autologo su articolazioni di condrociti prodotti da una matrice, per via artroscopica"]
81.90.20;["Trapianto autologo su articolazioni di condrociti prodotti da una matrice, chirurgico a cielo aperto"]
81.91;["Artrocentesi"];Aspirazione articolare
81.92.00;["Iniezione di sostanze terapeutiche in articolazione o legamento, NAS"]
81.92.09;["Iniezione di sostanze terapeutiche in articolazione o legamento, altro"]
81.92.1;["Iniezione/infusione di medicamento in articolazioni della colonna vertebrale per terapia del dolore senza procedura per immagini (imaging)"]
81.92.10;["Iniezione/infusione di medicamento in articolazioni della colonna vertebrale per terapia del dolore senza imaging, articolazioni non specificate"]
81.92.11;["Iniezione/infusione di medicamento in articolazioni della colonna vertebrale per terapia del dolore senza imaging, articolazioni del capo"]
81.92.12;["Iniezione/infusione di medicamento in articolazioni della colonna vertebrale per terapia del dolore senza imaging, articolazioni della colonna cervicale"]
81.92.13;["Iniezione/infusione di medicamento in articolazioni della colonna vertebrale per terapia del dolore senza imaging, articolazioni della colonna toracica"]
81.92.14;["Iniezione/infusione di medicamento in articolazioni della colonna vertebrale per terapia del dolore senza imaging, articolazioni della colonna lombare / articolazione sacroiliaca"]
81.92.19;["Iniezione/infusione di medicamento in articolazioni della colonna vertebrale per terapia del dolore senza imaging, altre articolazioni"]
81.92.2;["Iniezione/infusione di medicamento in articolazioni della colonna vertebrale per terapia del dolore con procedura per immagini (imaging)"];Con imaging: con procedura per immagini Incl.: tomografia computerizzata o fluoroscopia
81.92.20;["Iniezione/infusione di medicamento in articolazioni della colonna vertebrale per terapia del dolore con imaging, articolazioni non specificate"]
81.92.21;["Iniezione/infusione di medicamento in articolazioni della colonna vertebrale per terapia del dolore con imaging, articolazioni del capo"]
81.92.22;["Iniezione/infusione di medicamento in articolazioni della colonna vertebrale per terapia del dolore con imaging, articolazioni della colonna cervicale"]
81.92.23;["Iniezione/infusione di medicamento in articolazioni della colonna vertebrale per terapia del dolore con imaging, articolazioni della colonna toracica"]
81.92.24;["Iniezione/infusione di medicamento in articolazioni della colonna vertebrale per terapia del dolore con imaging, articolazioni della colonna lombare / articolazione sacroiliaca"]
81.92.29;["Iniezione/infusione di medicamento in articolazioni della colonna vertebrale per terapia del dolore con imaging, altre articolazioni"]
81.92.30;["Iniezione/infusione di medicamento in articolazioni periferiche, NAS"]
81.92.31;["Iniezione/infusione di medicamento in articolazioni periferiche per terapia del dolore senza imaging"]
81.92.32;["Iniezione/infusione di medicamento in articolazioni periferiche per terapia del dolore con imaging"]
81.92.39;["Iniezione/infusione di medicamento in articolazioni periferiche, altro"]
81.92.4;["Iniezione / infusione di medicamento in legamenti e/o muscoli per terapia del dolore"]
81.92.40;["Iniezione / infusione di medicamento in legamenti e/o muscoli per terapia del dolore, NAS"]
81.92.41;["Iniezione / infusione di medicamento in legamenti e/o muscoli per terapia del dolore, senza procedura per immagini (imaging)"]
81.92.42;["Iniezione / infusione di medicamento in legamenti e/o muscoli per terapia del dolore, con imaging"]
81.92.43;["Iniezione / infusione di medicamento in legamenti e/o muscoli per terapia del dolore, altro"]
81.93.00;["Sutura della capsula o dei legamenti dell'arto superiore, NAS"]
81.93.10;["Sutura dell'apparato legamentoso della clavicola"]
81.93.20;["Sutura dell'anello fibroso radio-ulnare"]
81.93.21;["Sutura dell'apparato legamentoso radio-ulnare distale"]
81.93.30;["Sutura della capsula o dei legamenti dell'arto superiore, carpo e metacarpo"]
81.93.99;["Sutura della capsula o dei legamenti dell'arto superiore, altro"]
81.94;["Sutura della capsula o del legamento della caviglia e del piede"]
81.95.00;["Sutura della capsula o del legamento in altra parte dell'arto inferiore, NAS"]
81.95.10;["Sutura della capsula o del legamento in altra parte dell'arto inferiore, Sutura del legamento crociato anteriore del ginocchio, per via artroscopica"]
81.95.11;["Sutura della capsula o del legamento in altra parte dell'arto inferiore, Sutura del legamento crociato anteriore del ginocchio, chirurgica a cielo aperto"]
81.95.12;["Sutura della capsula o del legamento in altra parte dell'arto inferiore, Sutura del legamento crociato posteriore del ginocchio, per via artroscopica"]
81.95.13;["Sutura della capsula o del legamento in altra parte dell'arto inferiore, Sutura del legamento crociato posteriore del ginocchio, chirurgica a cielo aperto"]
81.95.14;["Sutura della capsula o del legamento in altra parte dell'arto inferiore, Sutura dell'apparato capsulo-legamentoso mediale con intervento sul menisco, per via artroscopica"]
81.95.15;["Sutura della capsula o del legamento in altra parte dell'arto inferiore, Sutura dell'apparato capsulo-legamentoso mediale con intervento sul menisco, chirurgica a cielo aperto"]
81.95.16;["Sutura della capsula o del legamento in altra parte dell'arto inferiore, Sutura dell'apparato capsulo-legamentoso laterale, per via artroscopica"]
81.95.17;["Sutura della capsula o del legamento in altra parte dell'arto inferiore, Sutura dell'apparato capsulo-legamentoso laterale, chirurgica a cielo aperto"]
81.95.18;["Sutura della capsula o del legamento in altra parte dell'arto inferiore, Sutura dell'apparato capsulo-legamentoso dorsale, chirurgica a cielo aperto"]
81.95.99;["Sutura della capsula o del legamento in altra parte dell'arto inferiore, altro"]
81.96.10;["Altra riparazione articolare, Articolazione sterno-clavicolare, NAS"]
81.96.11;["Altra riparazione articolare, Articolazione sterno-clavicolare, Rifissazione di frammento osteocondrale, per via artroscopica"]
81.96.12;["Altra riparazione articolare, Articolazione sterno-clavicolare, Rifissazione di frammento osteocondrale, chirurgica a cielo aperto"]
81.96.13;["Altra riparazione articolare, Articolazione sterno-clavicolare, Spongioplastica subcondrale, per via artroscopica"]
81.96.14;["Altra riparazione articolare, Articolazione sterno-clavicolare, Spongioplastica subcondrale, chirurgica a cielo aperto"]
81.96.15;["Altra riparazione articolare, Articolazione sterno-clavicolare, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, per via artroscopica"]
81.96.16;["Altra riparazione articolare, Articolazione sterno-clavicolare, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, chirurgico a cielo aperto"]
81.96.17;["Altra riparazione articolare, Articolazione sterno-clavicolare, Condroabrasione, per via artroscopica"]
81.96.18;["Altra riparazione articolare, Articolazione sterno-clavicolare, Condroabrasione, chirurgica a cielo aperto"]
81.96.19;["Altra riparazione articolare, Articolazione sterno-clavicolare, altro"]
81.96.1A;["Altra riparazione articolare, Articolazione sterno-clavicolare, Perforazione subcondrale, per via artroscopica"]
81.96.1B;["Altra riparazione articolare, Articolazione sterno-clavicolare, Perforazione subcondrale, chirurgica a cielo aperto"]
81.96.1C;["Altra riparazione articolare, Articolazione sterno-clavicolare, Perforazione subcondrale con inserzione di impianto acellulare, per via artroscopica"]
81.96.21;["Altra riparazione articolare, Polso, Rifissazione di frammento osteocondrale, per via artroscopica"]
81.96.22;["Altra riparazione articolare, Polso, Rifissazione di frammento osteocondrale, chirurgica a cielo aperto"]
81.96.24;["Altra riparazione articolare, Polso, Spongioplastica subcondrale, chirurgica a cielo aperto"]
81.96.25;["Altra riparazione articolare, Polso, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, per via artroscopica"]
81.96.26;["Altra riparazione articolare, Polso, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, chirurgico a cielo aperto"]
81.96.27;["Altra riparazione articolare, Polso, Condroabrasione, per via artroscopica"]
81.96.28;["Altra riparazione articolare, Polso, Condroabrasione, chirurgica a cielo aperto"]
81.96.2A;["Altra riparazione articolare, Polso, Perforazione subcondrale, per via artroscopica"]
81.96.2B;["Altra riparazione articolare, Polso, Perforazione subcondrale, chirurgica a cielo aperto"]
81.96.2C;["Altra riparazione articolare, Polso, Perforazione subcondrale con inserzione di impianto acellulare, per via artroscopica"]
81.96.30;["Altra riparazione articolare, Articolazione sacroiliaca, NAS"]
81.96.31;["Altra riparazione articolare, Articolazione sacroiliaca, Rifissazione di frammento osteocondrale, per via artroscopica"]
81.96.32;["Altra riparazione articolare, Articolazione sacroiliaca, Rifissazione di frammento osteocondrale, chirurgica a cielo aperto"]
81.96.33;["Altra riparazione articolare, Articolazione sacroiliaca, Spongioplastica subcondrale, per via artroscopica"]
81.96.34;["Altra riparazione articolare, Articolazione sacroiliaca, Spongioplastica subcondrale, chirurgica a cielo aperto"]
81.96.35;["Altra riparazione articolare, Articolazione sacroiliaca, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, per via artroscopica"]
81.96.36;["Altra riparazione articolare, Articolazione sacroiliaca, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, chirurgico a cielo aperto"]
81.96.37;["Altra riparazione articolare, Articolazione sacroiliaca, Condroabrasione, per via artroscopica"]
81.96.38;["Altra riparazione articolare, Articolazione sacroiliaca, Condroabrasione, chirurgica a cielo aperto"]
81.96.39;["Altra riparazione articolare, Articolazione sacroiliaca, altro"]
81.96.3A;["Altra riparazione articolare, Articolazione sacroiliaca, Perforazione subcondrale, per via artroscopica"]
81.96.3B;["Altra riparazione articolare, Articolazione sacroiliaca, Perforazione subcondrale, chirurgica a cielo aperto"]
81.96.3C;["Altra riparazione articolare, Articolazione sacroiliaca, Perforazione subcondrale con inserzione di impianto acellulare, per via artroscopica"]
81.96.4;["Altra riparazione articolare, Articolazione tibio-fibulare prossimale"]
81.96.40;["Altra riparazione articolare, Articolazione tibio-fibulare prossimale, NAS"]
81.96.41;["Altra riparazione articolare, Articolazione tibio-fibulare prossimale, Rifissazione di frammento osteocondrale, per via artroscopica"]
81.96.42;["Altra riparazione articolare, Articolazione tibio-fibulare prossimale, Rifissazione di frammento osteocondrale, chirurgica a cielo aperto"]
81.96.43;["Altra riparazione articolare, Articolazione tibio-fibulare prossimale, Spongioplastica subcondrale, per via artroscopica"]
81.96.44;["Altra riparazione articolare, Articolazione tibio-fibulare prossimale, Spongioplastica subcondrale, chirurgica a cielo aperto"]
81.96.45;["Altra riparazione articolare, Articolazione tibio-fibulare prossimale, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, per via artroscopica"]
81.96.46;["Altra riparazione articolare, Articolazione tibio-fibulare prossimale, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, chirurgica a cielo aperto"]
81.96.47;["Altra riparazione articolare, Articolazione tibio-fibulare prossimale, Condroabrasione, per via artroscopica"]
81.96.48;["Altra riparazione articolare, Articolazione tibio-fibulare prossimale, Condroabrasione, chirurgica a cielo aperto"]
81.96.49;["Altra riparazione articolare, Articolazione tibio-fibulare prossimale, altro"]
81.96.4A;["Altra riparazione articolare, Articolazione tibio-fibulare prossimale, Perforazione subcondrale, per via artroscopica"]
81.96.4B;["Altra riparazione articolare, Articolazione tibio-fibulare prossimale, Perforazione subcondrale, chirurgica a cielo aperto"]
81.96.4C;["Altra riparazione articolare, Articolazione tibio-fibulare prossimale, Perforazione subcondrale con inserzione di impianto acellulare, per via artroscopica"]
81.96.50;["Altra riparazione articolare, Articolazione metatarso-falangea, NAS"]
81.96.51;["Altra riparazione articolare, Articolazione metatarso-falangea, Rifissazione di frammento osteocondrale, per via artroscopica"]
81.96.52;["Altra riparazione articolare, Articolazione metatarso-falangea, Rifissazione di frammento osteocondrale, chirurgica a cielo aperto"]
81.96.53;["Altra riparazione articolare, Articolazione metatarso-falangea, Spongioplastica subcondrale, per via artroscopica"]
81.96.54;["Altra riparazione articolare, Articolazione metatarso-falangea, Spongioplastica subcondrale, chirurgica a cielo aperto"]
81.96.55;["Altra riparazione articolare, Articolazione metatarso-falangea, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, per via artroscopica"]
81.96.56;["Altra riparazione articolare, Articolazione metatarso-falangea, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, chirurgico a cielo aperto"]
81.96.57;["Altra riparazione articolare, Articolazione metatarso-falangea, Condroabrasione, per via artroscopica"]
81.96.58;["Altra riparazione articolare, Articolazione metatarso-falangea, Condroabrasione, chirurgica a cielo aperto"]
81.96.59;["Altra riparazione articolare, Articolazione metatarso-falangea, altro"]
81.96.5A;["Altra riparazione articolare, Articolazione metatarso-falangea, Perforazione subcondrale, per via artroscopica"]
81.96.5B;["Altra riparazione articolare, Articolazione metatarso-falangea, Perforazione subcondrale, chirurgica a cielo aperto"]
81.96.5C;["Altra riparazione articolare, Articolazione metatarso-falangea, Perforazione subcondrale con inserzione di impianto acellulare, per via artroscopica"]
81.96.60;["Altra riparazione articolare, Articolazione interfalangea del piede, NAS"]
81.96.61;["Altra riparazione articolare, Articolazione interfalangea del piede, Rifissazione di frammento osteocondrale, per via artroscopica"]
81.96.62;["Altra riparazione articolare, Articolazione interfalangea del piede, Rifissazione di frammento osteocondrale, chirurgica a cielo aperto"]
81.96.63;["Altra riparazione articolare, Articolazione interfalangea del piede, Spongioplastica subcondrale, per via artroscopica"]
81.96.64;["Altra riparazione articolare, Articolazione interfalangea del piede, Spongioplastica subcondrale, chirurgica a cielo aperto"]
81.96.65;["Altra riparazione articolare, Articolazione interfalangea del piede, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, per via artroscopica"]
81.96.66;["Altra riparazione articolare, Articolazione interfalangea del piede, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, chirurgico a cielo aperto"]
81.96.67;["Altra riparazione articolare, Articolazione interfalangea del piede, Condroabrasione, per via artroscopica"]
81.96.68;["Altra riparazione articolare, Articolazione interfalangea del piede, Condroabrasione, chirurgica a cielo aperto"]
81.96.69;["Altra riparazione articolare, Articolazione interfalangea del piede, altro"]
81.96.6A;["Altra riparazione articolare, Articolazione interfalangea del piede, Perforazione subcondrale, per via artroscopica"]
81.96.6B;["Altra riparazione articolare, Articolazione interfalangea del piede, Perforazione subcondrale, chirurgica a cielo aperto"]
81.96.6C;["Altra riparazione articolare, Articolazione interfalangea del piede, Perforazione subcondrale con inserzione di impianto acellulare, per via artroscopica"]
81.96.70;["Altra riparazione articolare, altre articolazioni del piede, NAS"]
81.96.71;["Altra riparazione articolare, altre articolazioni del piede, Rifissazione di frammento osteocondrale, per via artroscopica"]
81.96.72;["Altra riparazione articolare, altre articolazioni del piede, Rifissazione di frammento osteocondrale, chirurgica a cielo aperto"]
81.96.73;["Altra riparazione articolare, altre articolazioni del piede, Spongioplastica subcondrale, per via artroscopica"]
81.96.74;["Altra riparazione articolare, altre articolazioni del piede, Spongioplastica subcondrale, chirurgica a cielo aperto"]
81.96.75;["Altra riparazione articolare, altre articolazioni del piede, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, per via artroscopica"]
81.96.76;["Altra riparazione articolare, altre articolazioni del piede, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, chirurgico a cielo aperto"]
81.96.77;["Altra riparazione articolare, altre articolazioni del piede, Condroabrasione, per via artroscopica"]
81.96.78;["Altra riparazione articolare, altre articolazioni del piede, Condroabrasione, chirurgica a cielo aperto"]
81.96.79;["Altra riparazione articolare, altre articolazioni del piede, altro"]
81.96.7A;["Altra riparazione articolare, altre articolazioni del piede, Perforazione subcondrale, per via artroscopica"]
81.96.7B;["Altra riparazione articolare, altre articolazioni del piede, Perforazione subcondrale, chirurgica a cielo aperto"]
81.96.7C;["Altra riparazione articolare, altre articolazioni del piede, Perforazione subcondrale con inserzione di impianto acellulare, per via artroscopica"]
81.96.80;["Altra riparazione di altra articolazione specificata, NAS"]
81.96.81;["Altra riparazione di altra articolazione specificata, Rifissazione di frammento osteocondrale, per via artroscopica"]
81.96.82;["Altra riparazione di altra articolazione specificata, Rifissazione di frammento osteocondrale, chirurgica a cielo aperto"]
81.96.83;["Altra riparazione di altra articolazione specificata, Spongioplastica subcondrale, per via artroscopica"]
81.96.84;["Altra riparazione di altra articolazione specificata, Spongioplastica subcondrale, chirurgica a cielo aperto"]
81.96.85;["Altra riparazione di altra articolazione specificata, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, per via artroscopica"]
81.96.86;["Altra riparazione di altra articolazione specificata, Innesto di cartilagine e impianto di colture tissutali prodotte in vitro, chirurgico a cielo aperto"]
81.96.87;["Altra riparazione di altra articolazione specificata, Condroabrasione, per via artroscopica"]
81.96.88;["Altra riparazione di altra articolazione specificata, Condroabrasione, chirurgica a cielo aperto"]
81.96.89;["Altra riparazione di altra articolazione specificata, altro"]
81.96.8A;["Altra riparazione di altra articolazione specificata, Perforazione subcondrale, per via artroscopica"]
81.96.8B;["Altra riparazione di altra articolazione specificata, Perforazione subcondrale, chirurgica a cielo aperto"]
81.96.8C;["Altra riparazione di altra articolazione specificata, Perforazione subcondrale con inserzione di impianto acellulare, per via artroscopica"]
81.96.90;["Altri interventi di riparazione e plastica articolare, NAS"]
81.96.91;["Altri interventi di riparazione e plastica articolare, Sutura di capsula o legamento collaterale"]
81.96.92;["Altri interventi di riparazione e plastica articolare, Rifissazione dell'apparato capsulo-legamentoso di altre articolazioni"]
81.96.93;["Altri interventi di riparazione e plastica articolare, Impianto/rimozione di menisco di collagene"]
81.96.94;["Altri interventi di riparazione e plastica articolare, Impianto/rimozione di menisco di collagene, per via artroscopica"]
81.96.95;["Altri interventi di riparazione e plastica articolare, Impianto di endoprotesi in articolazioni dell'estremità superiore, altro"]
81.96.96;["Altri interventi di riparazione e plastica articolare, Inserzione di distanziatori (es. dopo rimozione di endoprotesi)"]
81.96.97;["Altri interventi di riparazione e plastica articolare, Intervento complesso di primo impianto/sostituzione di endoprotesi articolare associato a sostituzione di osso e/o a sostituzione di articolazioni adiacenti"]
81.96.98;["Altri interventi di riparazione e plastica articolare, Artroplastica di resezione del polso"]
81.96.9A;["Altri interventi di riparazione e plastica articolare, Artroplastica di resezione delle articolazioni del piede"]
81.96.9B;["Altri interventi di riparazione e plastica articolare, altri interventi di plastica articolare"]
81.97;["Revisione di sostituzione di articolazione dell'arto superiore"];Parziale;Totale;Rimozione del Cement Spacer
81.97.00;["Revisione di protesi articolare dell'arto superiore, NAS"]
81.97.10;["Revisione di protesi articolare dell'arto superiore, senza sostituzione"]
81.97.11;["Revisione e sostituzione di protesi totale della spalla"]
81.97.12;["Revisione e sostituzione di protesi della testa dell'omero"]
81.97.13;["Revisione e sostituzione di protesi totale del gomito"]
81.97.14;["Revisione e sostituzione di protesi del capitello radiale"]
81.97.16;["Revisione e sostituzione di endoprotesi dell'articolazione della base del pollice"]
81.97.17;["Revisione e sostituzione di altra endoprotesi delle articolazioni delle dita delle mani"]
81.97.99;["Revisione di protesi articolare dell'arto superiore, altro"]
81.98;["Altre procedure diagnostiche sulle strutture articolari"]
81.99.00;["Altri interventi sulle strutture articolari, NAS"]
81.99.11;["Revisione artroscopica di articolazione, Articolazione omero-glenoidea"]
81.99.12;["Revisione artroscopica di articolazione, Articolazione acromio-clavicolare"]
81.99.13;["Revisione artroscopica di articolazione, Articolazione sterno-clavicolare"]
81.99.18;["Revisione artroscopica di articolazione, Anca"]
81.99.19;["Revisione artroscopica di articolazione, altro"]
81.99.1A;["Revisione artroscopica di articolazione, Articolazione del ginocchio"]
81.99.1B;["Revisione artroscopica di articolazione, Articolazione tibio-fibulare prossimale"]
81.99.1C;["Revisione artroscopica di articolazione, Articolazione talocrurale"]
81.99.1D;["Revisione artroscopica di articolazione, Articolazione subtalare"]
81.99.1E;["Revisione artroscopica di articolazione, Altre articolazioni del piede e delle dita del piede"]
81.99.1F;["Revisione artroscopica di articolazione, Articolazione metatarso-falangea"]
81.99.1G;["Revisione artroscopica di articolazione, Articolazione interfalangea del piede"]
81.99.22;["Revisione chirurgica a cielo aperto di articolazione, Articolazione acromio-clavicolare"]
81.99.23;["Revisione chirurgica a cielo aperto di articolazione, Articolazione sterno-clavicolare"]
81.99.24;["Revisione chirurgica a cielo aperto di articolazione, Gomito"]
81.99.25;["Revisione chirurgica a cielo aperto di articolazione, Polso"]
81.99.26;["Revisione chirurgica a cielo aperto di articolazione, Articolazione sacroiliaca"]
81.99.27;["Revisione chirurgica a cielo aperto di articolazione, Sinfisi pubica"]
81.99.28;["Revisione chirurgica a cielo aperto di articolazione, Anca"]
81.99.29;["Revisione chirurgica a cielo aperto di articolazione, altro"]
81.99.2A;["Revisione chirurgica a cielo aperto di articolazione, Articolazione del ginocchio"]
81.99.2B;["Revisione chirurgica a cielo aperto di articolazione, Articolazione tibio-fibulare prossimale"]
81.99.2C;["Revisione chirurgica a cielo aperto di articolazione, Articolazione talocrurale"]
81.99.2D;["Revisione chirurgica a cielo aperto di articolazione, Articolazione subtalare"]
81.99.2E;["Revisione chirurgica a cielo aperto di articolazione, Altre articolazioni del piede e delle dita del piede"]
81.99.2F;["Revisione chirurgica a cielo aperto di articolazione, Articolazione metatarso-falangea"]
81.99.2G;["Revisione chirurgica a cielo aperto di articolazione, Articolazione interfalangea del piede"]
81.99.30;["Interventi artroscopici sulla cartilagine articolare, NAS"]
81.99.31;["Interventi artroscopici sulla cartilagine articolare, Articolazione omero-glenoidea"]
81.99.32;["Interventi artroscopici sulla cartilagine articolare, Articolazione acromio-clavicolare"]
81.99.33;["Interventi artroscopici sulla cartilagine articolare, Articolazione sterno-clavicolare"]
81.99.36;["Interventi artroscopici sulla cartilagine articolare, Articolazione sacroiliaca"]
81.99.38;["Interventi artroscopici sulla cartilagine articolare, Anca"]
81.99.39;["Interventi artroscopici sulla cartilagine articolare, altro"]
81.99.3A;["Interventi artroscopici sulla cartilagine articolare e sui menischi, Articolazione del ginocchio"]
81.99.3B;["Interventi artroscopici sulla cartilagine articolare, Articolazione tibio-fibulare prossimale"]
81.99.3C;["Interventi artroscopici sulla cartilagine articolare, Articolazione talocrurale"]
81.99.3D;["Interventi artroscopici sulla cartilagine articolare, Articolazione subtalare"]
81.99.3E;["Interventi artroscopici sulla cartilagine articolare, Altre articolazioni del piede e delle dita del piede"]
81.99.3F;["Interventi artroscopici sulla cartilagine articolare, Articolazione metatarso-falangea"]
81.99.3G;["Interventi artroscopici sulla cartilagine articolare, Articolazione interfalangea del piede"]
81.99.41;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, Articolazione omero-glenoidea"]
81.99.42;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, Articolazione acromio-clavicolare"]
81.99.43;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, Articolazione sterno-clavicolare"]
81.99.44;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, Gomito"]
81.99.45;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, Polso"]
81.99.46;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, Articolazione sacroiliaca"]
81.99.47;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, Sinfisi pubica"]
81.99.48;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, Anca"]
81.99.49;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, altro"]
81.99.4A;["Interventi chirurgici a cielo aperto sulla cartilagine articolare e sui menischi, Articolazione del ginocchio"]
81.99.4B;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, Articolazione tibio-fibulare prossimale"]
81.99.4C;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, Articolazione talocrurale"]
81.99.4D;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, Articolazione subtalare"]
